iteration,timesteps,violations_per_100_steps_mean,violations_per_100_steps_std,success_rate_mean,success_rate_std,avg_time_to_failure_mean,avg_time_to_failure_std,mean_episode_length_mean,mean_episode_length_std,avg_collisions_per_episode_mean,avg_collisions_per_episode_std,avg_episode_reward_mean,avg_episode_reward_std
2,16384,33.95754190189583,11.559069740820034,0.156,0.13047605144240074,62.233466146256845,24.004722943496226,266.74399999999997,31.28123117781651,40.352000000000004,19.637114248279968,4.287470777571201,7.424814784349582
4,32768,34.56536062140015,12.406226282774893,0.164,0.12674383614203888,51.23698852367145,17.3621517842999,265.416,29.88070521256151,34.855999999999995,16.44407443427571,4.192885501332581,6.941767652988042
6,49152,36.055093408062845,15.89519341327386,0.2,0.1338656042454521,57.18763157894737,18.81168770651633,260.51599999999996,37.16753508103543,43.448,26.382747696174487,6.290563623093069,7.217073290092773
8,65536,36.30299652738468,13.492129756861752,0.22000000000000003,0.12837445228704972,51.33578553141687,16.004171799315145,254.004,31.4131727783107,28.736,7.599319969576226,6.94457831159234,6.915983524458224
10,81920,45.41573110605587,13.559438591901312,0.26799999999999996,0.11771151175649729,51.45488251618872,16.602866121274477,245.916,31.21122208437216,35.775999999999996,11.644702830042506,9.430277758926154,6.3361853968265
12,98304,49.28657539773893,16.41933350140993,0.20800000000000002,0.160299719276111,44.24990390345427,15.766700316256845,253.26399999999998,44.36767724368721,38.376,24.305148096648164,5.985281041748822,8.714904548262886
14,114688,52.28983238618726,16.471480182648833,0.24000000000000005,0.13084341787036902,41.199956545720525,11.96921815630991,250.13600000000002,35.94833270125333,29.024,13.205213515880764,7.26544630779326,7.284752219567227
16,131072,53.64185249794464,12.55900344901033,0.23200000000000004,0.096,38.38753741496599,9.842275681647461,253.76400000000004,28.33180375479119,29.595999999999997,12.396460139894774,6.728153926149011,5.2905958833321565
18,147456,55.22965453036592,22.071451618566634,0.21200000000000002,0.15210522673465235,37.48074351902923,12.031028089657525,254.74800000000005,40.71768677123002,25.243999999999996,8.330775714181723,5.3848735844343905,8.174445684609541
20,163840,54.44405089620318,11.88233662646061,0.292,0.18312837027615356,35.80170569280344,14.167545270246734,240.57600000000002,47.01371612625406,26.284000000000002,6.657031170123812,10.13559652672708,10.467694913672544
22,180224,53.39924541434108,13.031094463363749,0.23600000000000004,0.112,37.39055488141202,14.060643599800803,251.43200000000002,25.94018535014737,21.607999999999997,4.4278861773988725,6.853574252195656,6.21903796067333
24,196608,58.546113435603715,12.120612832109112,0.28400000000000003,0.1310877568653915,39.82326530612245,17.341732329842852,240.92799999999997,34.83003439561896,23.139999999999997,13.608879454238691,9.239881413824858,7.983724146093576
